input,target
"""grammar: The example of Senegal shows the crucial role which such forces can play and their potential growth elsewhere is discussed further in Chapter 12""","""The example of Senegal shows the crucial role which such forces can play , and their potential growth elsewhere is discussed further in Chapter 12 ."""
"""grammar: The eggs were fried in a smaller pan""","""The eggs were fried in a smaller pan ."""
"""grammar: ‘ I'm  bound to be taken for the chauffeur ’ he laughed out mispronouncing the word with relish but he was not corrected as he hoped""","""‘ I'm  bound to be taken for the chauffeur , ’ he laughed out , mispronouncing the word with relish but he was not corrected as he hoped ."""
"""grammar: Brian Salt ( Rists ) could have won the Kidsgrove Open on the Trent and Mersey Canal if he hadn't  missed his keepnet with an 8 oz roach""","""Brian Salt ( Rists ) could have won the Kidsgrove Open on the Trent and Mersey Canal if he hadn't  missed his keepnet with an 8 oz roach ."""
"""grammar: Others Joe Brennan ( Nige Williams Tackle ) 4–7–0 Mick Edwards ( Springfield ) 4–3–10""","""Others : Joe Brennan ( Nige Williams Tackle ) 4–7–0 ; Mick Edwards ( Springfield ) 4–3–10 ."""
"""grammar: On this Marx has almost nothing to say""","""On this Marx has almost nothing to say ."""
"""grammar: It is also clear that in some places Marx at least seems willing to envisage qualifications which are even more fundamental for example that there might be more than one line of evolution""","""It is also clear that in some places , Marx at least , seems willing to envisage qualifications which are even more fundamental ; for example , that there might be more than one line of evolution ."""
"""grammar: I am reminded of the time when we were leaving Italy after a while in the Dolomites and spent all our Italian cash in the last café making a phone call only to find that the café owner was adding a surcharge to the bill""","""I am reminded of the time when we were leaving Italy after a while in the Dolomites and spent all our Italian cash in the last café making a phone call , only to find that the café owner was adding a surcharge to the bill ."""
"""grammar: I have been giving a series of seminars on nutrition and the Asian family to Health Visitors""","""I have been giving a series of seminars on nutrition and the Asian family to Health Visitors ."""
"""grammar: The Scarman Enquiry reported of the physical conditions in the Dollis Hill premises in which the mail order department then moved that ‘ save for the mischance with the air-conditioning in a hot summer ’ they were ‘ excellent ’""","""The Scarman Enquiry reported of the physical conditions in the Dollis Hill premises in which the mail order department then moved , that ‘ save for the mischance with the air-conditioning in a hot summer ’ , they were ‘ excellent ’ ."""
"""grammar: This has happened to me today it will happen to you tomorrow""","""This has happened to me today , it will happen to you tomorrow ."""
